era,variant,engine,.metric,.estimate
1940,"glmnet default (alpha=1, lambda.min)",glmnet,f_meas,0.7220367278797997
1950,"glmnet default (alpha=1, lambda.min)",glmnet,accuracy,0.7123998114097124
1950,"glmnet default (alpha=1, lambda.min)",glmnet,kap,0.4253763360629744
1950,"glmnet default (alpha=1, lambda.min)",glmnet,mn_log_loss,1.0612874427104397
1950,"glmnet default (alpha=1, lambda.min)",glmnet,roc_auc,0.7790780627611862
1950,"glmnet default (alpha=1, lambda.min)",glmnet,f_meas,0.7081339712918661
1940,"xgboost default (depth=12, eta=0.1)",xgboost,accuracy,0.7112561174551386
1940,"xgboost default (depth=12, eta=0.1)",xgboost,kap,0.4221662441684597
1940,"xgboost default (depth=12, eta=0.1)",xgboost,mn_log_loss,1.3000642275816718
1940,"xgboost default (depth=12, eta=0.1)",xgboost,roc_auc,0.7840599237372984
1940,"xgboost default (depth=12, eta=0.1)",xgboost,f_meas,0.7181528662420382
1950,"xgboost default (depth=12, eta=0.1)",xgboost,accuracy,0.7123998114097124
1950,"xgboost default (depth=12, eta=0.1)",xgboost,kap,0.42427683624366896
1950,"xgboost default (depth=12, eta=0.1)",xgboost,mn_log_loss,1.2808073379208185
1950,"xgboost default (depth=12, eta=0.1)",xgboost,roc_auc,0.7842826619510086
1950,"xgboost default (depth=12, eta=0.1)",xgboost,f_meas,0.7214611872146119
1940,glmnet alpha=0,glmnet,accuracy,0.6847471451876019
1940,glmnet alpha=0,glmnet,kap,0.36877616783649025
1940,glmnet alpha=0,glmnet,mn_log_loss,0.9337809141854846
1940,glmnet alpha=0,glmnet,roc_auc,0.7457754617301834
1940,glmnet alpha=0,glmnet,f_meas,0.6955494289090193
1950,glmnet alpha=0,glmnet,accuracy,0.6812824139556812
1950,glmnet alpha=0,glmnet,kap,0.3617167898600919
1950,glmnet alpha=0,glmnet,mn_log_loss,0.88307311419468415
1950,glmnet alpha=0,glmnet,roc_auc,0.7271316974411981
1950,glmnet alpha=0,glmnet,f_meas,0.6943942133815552
1940,glmnet alpha=0.5,glmnet,accuracy,0.7292006525285482
1940,glmnet alpha=0.5,glmnet,kap,0.45928626083999324
1940,glmnet alpha=0.5,glmnet,mn_log_loss,1.062385691954095
1940,glmnet alpha=0.5,glmnet,roc_auc,0.8004381643695545
1940,glmnet alpha=0.5,glmnet,f_meas,0.7233333333333333
1950,glmnet alpha=0.5,glmnet,accuracy,0.71805752003771806
1950,glmnet alpha=0.5,glmnet,kap,0.43661585203347364
1950,glmnet alpha=0.5,glmnet,mn_log_loss,1.0412415354206823
1950,glmnet alpha=0.5,glmnet,roc_auc,0.7810447981583315
1950,glmnet alpha=0.5,glmnet,f_meas,0.7146946564885497
1940,"glmnet alpha=1, lambda.1se",glmnet,accuracy,0.7210440456769984
1940,"glmnet alpha=1, lambda.1se",glmnet,kap,0.4433103023415137
1940,"glmnet alpha=1, lambda.1se",glmnet,mn_log_loss,1.0287106985224075
1940,"glmnet alpha=1, lambda.1se",glmnet,roc_auc,0.8023114468610868
1940,"glmnet alpha=1, lambda.1se",glmnet,f_meas,0.7116357504215851
1950,"glmnet alpha=1, lambda.1se",glmnet,accuracy,0.7034417727487035
1950,"glmnet alpha=1, lambda.1se",glmnet,kap,0.40769314440850746
1950,"glmnet alpha=1, lambda.1se",glmnet,mn_log_loss,1.0096899689356078
1950,"glmnet alpha=1, lambda.1se",glmnet,roc_auc,0.7790407027943477
1950,"glmnet alpha=1, lambda.1se",glmnet,f_meas,0.6962819893771125
1940,"xgboost depth=4, eta=0.05",xgboost,accuracy,0.7100326264274062
1940,"xgboost depth=4, eta=0.05",xgboost,kap,0.4219688519959205
1940,"xgboost depth=4, eta=0.05",xgboost,mn_log_loss,1.0130170760665436
1940,"xgboost depth=4, eta=0.05",xgboost,roc_auc,0.7915111145431694
1940,"xgboost depth=4, eta=0.05",xgboost,f_meas,0.6931376780319378
1950,"xgboost depth=4, eta=0.05",xgboost,accuracy,0.6987270155586988
1950,"xgboost depth=4, eta=0.05",xgboost,kap,0.3981845881820616
1950,"xgboost depth=4, eta=0.05",xgboost,mn_log_loss,0.9877041054391381
1950,"xgboost depth=4, eta=0.05",xgboost,roc_auc,0.7739286139986017
1950,"xgboost depth=4, eta=0.05",xgboost,f_meas,0.6926406926406926
1940,"xgboost depth=4, eta=0.1",xgboost,accuracy,0.7132952691680261
